Vec_Gram,Classifier,Ac,crossval_train_score_mean,crossval_test_score_mean,crossval_train_score_std,crossval_test_score_std,Time.2
tf_2,BernoulliNB(),0.7546239210850801,0,0.7381329403580713,0,0.016229777702083257,4.248429536819458
tf_2,LogisticRegression(),0.813810110974106,0,0.8055166038150331,0,0.014877060576383666,11.464445352554321
tf_2,LinearSVC(),0.8039457459926017,0,0.7889283491377732,0,0.01741342444776384,6.933334589004517
tf_2,AdaBoostClassifier(),0.7065351418002466,0,0.7163032865912446,0,0.029188901172242643,14.095260381698608
tf_2,RidgeClassifier(),0.8014796547472256,0,0.7899748593465871,0,0.018037239938964944,6.510590553283691
tf_2,PassiveAggressiveClassifier(),0.7743526510480888,0,0.7690293999194522,0,0.0162991957665497,4.7520177364349365
tf_2,Perceptron(),0.8051787916152897,0,0.7873610246646896,0,0.01994862345366752,4.667224168777466
tf_2,RandomForest Classifier,0.781750924784217,0,0.7803771708221969,0,0.020764408310978612,99.31848406791687
tf_3,MultinomialNB(),0.8187422934648582,0,0.8091851865412074,0,0.017182869566910956,7.253891468048096
tf_3,BernoulliNB(),0.6720098643649816,0,0.6581688817290912,0,0.01867456773691449,7.308307647705078
tf_3,LogisticRegression(),0.8101109741060419,0,0.8063901194791248,0,0.019056240006538386,20.862009286880493
tf_3,LinearSVC(),0.7903822441430333,0,0.7856133831264722,0,0.01821373935625479,12.198177099227905
tf_3,AdaBoostClassifier(),0.7065351418002466,0,0.7163032865912446,0,0.029188901172242643,26.151718616485596
tf_3,RidgeClassifier(),0.7940813810110974,0,0.7891022589975469,0,0.019349681289120294,11.439890146255493
tf_3,PassiveAggressiveClassifier(),0.7792848335388409,0,0.7606503008335468,0,0.018532728424475505,7.885303974151611
tf_3,Perceptron(),0.8101109741060419,0,0.7946948339618497,0,0.01958666992675416,7.669410228729248
tf_3,RandomForest Classifier,0.782983970406905,0,0.78264715214977,0,0.02301887767226701,170.04400253295898
